Country,Freq
US,8085
Canada,1193
Germany,893
Australia,856
Netherlands,790
UnitedKingdom,711
Sweden,623
Italy,552
Japan,549
England,448
Spain,375
France,370
China,350
Israel,332
Taiwan,266
Finland,261
HongKong,226
Denmark,199
Switzerland,171
Korea,169
Norway,162
Belgium,153
Brazil,142
Ireland,138
Greece,119
Austria,110
Poland,97
India,93
SouthKorea,87
NewZealand,86
Turkey,86
Europe,75
Singapore,75
Scotland,74
Portugal,66
Wales,66
Mexico,50
Thailand,47
CzechRepublic,44
Nigeria,41
Philippines,39
Russia,38
Hungary,37
Iran,31
GreatBritain,28
Malaysia,26
SouthAfrica,26
Estonia,23
NorthernIreland,22
Bulgaria,20
Chile,19
Croatia,19
Argentina,18
Egypt,18
Slovenia,18
Kenya,17
Latvia,17
Romania,17
Slovakia,17
Ukraine,17
Asia,16
Cuba,16
Africa,15
Vietnam,15
Bangladesh,13
Georgia,12
Ghana,12
Iceland,12
Peru,12
Lebanon,10
Lithuania,10
PuertoRico,10
Colombia,9
Cyprus,9
Indonesia,9
NorthAmerica,8
Uganda,8
Caribbean,7
Kuwait,7
Nepal,7
NorthKorea,7
Scandinavia,7
Tanzania,7
Venezuela,7
Barbados,6
DominicanRepublic,6
Luxembourg,6
UnitedArabEmirates,6
Botswana,5
Jamaica,5
Malta,5
Oceania/PacificIslands,5
Panama,5
SerbiaandMontenegro,5
SriLanka,5
Uruguay,5
USSR,5
Guatemala,4
Morocco,4
Pakistan,4
SaudiArabia,4
Yugoslavia,4
Zambia,4
Afghanistan,3
Appalachia,3
Armenia,3
Belarus,3
DemocraticRepublicofCongo,3
Fiji,3
Malawi,3
Namibia,3
RepublicofSerbia,3
Tibet,3
Zimbabwe,3
Angola,2
Belize,2
Cambodia,2
CostaRica,2
Czechoslovakia,2
Ecuador,2
Ethiopia,2
Guyana,2
Jordan,2
Liberia,2
MiddleEast,2
Moldova,2
Senegal,2
SouthAmerica,2
TrinidadandTobago,2
Tunisia,2
WesternEurope,2
Albania,1
Algeria,1
AmericanSamoa,1
Azerbaijan,1
Bahamas,1
Benin,1
BurkinaFaso,1
Cameroon,1
CentralAmerica,1
EasternEurope,1
FaroeIslands,1
Greenland,1
Iraq,1
LatinAmerica,1
Lesotho,1
Libya,1
Macao,1
Madagascar,1
Mali,1
Mauritius,1
Mozambique,1
Niger,1
Palau,1
PapuaNewGuinea,1
Qatar,1
RepublicofCongo,1
Rwanda,1
Samoa,1
SierraLeone,1
Sudan,1
Surinam,1
Swaziland,1
Syria,1
